Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
5,5,47,22,Piniavos,130,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,152,19.82
5,1,47,7,Piniavos,77,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,84,10.95
5,6,47,,Piniavos,71,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,71,9.26
5,9,47,2,Piniavos,38,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,40,5.22
8,4,47,1,Daukniūnų,,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,1,0.38
8,17,47,,Daukniūnų,,Emigrantų partija,Pasvalio - Panevėžio,,
8,2,47,,Daukniūnų,1,Respublikonų partija,Pasvalio - Panevėžio,1,0.38
8,12,47,,Daukniūnų,1,Lietuvos žmonių partija,Pasvalio - Panevėžio,1,0.38
8,6,47,,Norgėlų,2,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,2,2.04
8,9,47,,Norgėlų,4,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,4,4.08
8,7,47,,Norgėlų,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
8,14,47,,Norgėlų,2,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,2,2.04
8,16,47,,Norgėlų,,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,,
8,18,47,,Norgėlų,,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,,
8,13,47,,Norgėlų,4,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,4,4.08
8,11,47,,Norgėlų,3,Krikščionių partija,Pasvalio - Panevėžio,3,3.06
7,9,47,4,Švobiškio,27,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,31,13.42
7,7,47,,Švobiškio,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
7,14,47,1,Švobiškio,11,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,12,5.19
7,16,47,,Švobiškio,2,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,2,0.87
7,18,47,,Švobiškio,1,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,1,0.43
7,13,47,,Švobiškio,2,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,2,0.87
7,11,47,,Švobiškio,2,Krikščionių partija,Pasvalio - Panevėžio,2,0.87
7,10,47,,Švobiškio,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,,
7,7,47,,Paįstrio,1,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,1,0.18
7,14,47,2,Paįstrio,76,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,78,13.66
7,16,47,1,Paįstrio,3,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,4,0.7
7,18,47,,Paįstrio,3,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,3,0.53
7,13,47,1,Paįstrio,12,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,13,2.28
7,11,47,2,Paįstrio,3,Krikščionių partija,Pasvalio - Panevėžio,5,0.88
7,10,47,1,Paįstrio,7,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,8,1.4
6,6,47,4,Bernatonių,37,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,41,8.8
6,9,47,3,Bernatonių,29,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,32,6.87
6,7,47,,Bernatonių,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
6,14,47,1,Bernatonių,42,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,43,9.23
6,16,47,1,Bernatonių,5,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,6,1.29
6,18,47,2,Bernatonių,6,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,8,1.72
6,13,47,,Bernatonių,3,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,3,0.64
6,11,47,4,Bernatonių,4,Krikščionių partija,Pasvalio - Panevėžio,8,1.72
6,9,47,3,Girsūdų,18,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,21,8.64
6,7,47,,Girsūdų,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
6,14,47,1,Girsūdų,13,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,14,5.76
6,16,47,,Girsūdų,2,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,2,0.82
6,18,47,,Girsūdų,1,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,1,0.41
6,13,47,,Girsūdų,1,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,1,0.41
6,11,47,3,Girsūdų,1,Krikščionių partija,Pasvalio - Panevėžio,4,1.65
6,10,47,,Girsūdų,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,1,0.41
5,7,47,,Piniavos,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
5,14,47,4,Piniavos,41,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,45,5.87
5,16,47,1,Piniavos,16,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,17,2.22
5,18,47,2,Piniavos,8,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,10,1.3
5,13,47,,Piniavos,7,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,7,0.91
8,10,47,,Norgėlų,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,,
8,15,47,,Norgėlų,,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,,
8,4,47,1,Norgėlų,2,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,3,3.06
8,17,47,,Norgėlų,,Emigrantų partija,Pasvalio - Panevėžio,,
8,2,47,,Norgėlų,,Respublikonų partija,Pasvalio - Panevėžio,,
8,12,47,1,Norgėlų,,Lietuvos žmonių partija,Pasvalio - Panevėžio,1,1.02
7,15,47,,Švobiškio,1,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,1,0.43
7,4,47,1,Švobiškio,,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,1,0.43
7,17,47,,Švobiškio,1,Emigrantų partija,Pasvalio - Panevėžio,1,0.43
7,2,47,,Švobiškio,,Respublikonų partija,Pasvalio - Panevėžio,,
7,12,47,,Švobiškio,,Lietuvos žmonių partija,Pasvalio - Panevėžio,,
7,15,47,,Paįstrio,2,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,2,0.35
7,4,47,,Paįstrio,4,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,4,0.7
7,17,47,,Paįstrio,3,Emigrantų partija,Pasvalio - Panevėžio,3,0.53
7,2,47,,Paįstrio,2,Respublikonų partija,Pasvalio - Panevėžio,2,0.35
7,12,47,,Paįstrio,,Lietuvos žmonių partija,Pasvalio - Panevėžio,,
6,10,47,,Bernatonių,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,1,0.21
6,15,47,,Bernatonių,4,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,4,0.86
6,4,47,,Bernatonių,2,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,2,0.43
6,17,47,,Bernatonių,2,Emigrantų partija,Pasvalio - Panevėžio,2,0.43
6,2,47,1,Bernatonių,1,Respublikonų partija,Pasvalio - Panevėžio,2,0.43
6,12,47,2,Bernatonių,,Lietuvos žmonių partija,Pasvalio - Panevėžio,2,0.43
6,15,47,,Girsūdų,3,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,3,1.23
6,4,47,,Girsūdų,,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,,
6,17,47,,Girsūdų,,Emigrantų partija,Pasvalio - Panevėžio,,
6,2,47,,Girsūdų,2,Respublikonų partija,Pasvalio - Panevėžio,2,0.82
6,12,47,,Girsūdų,,Lietuvos žmonių partija,Pasvalio - Panevėžio,,
5,11,47,,Piniavos,4,Krikščionių partija,Pasvalio - Panevėžio,4,0.52
5,10,47,1,Piniavos,11,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,12,1.56
5,15,47,1,Piniavos,11,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,12,1.56
5,4,47,,Piniavos,2,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,2,0.26
5,17,47,,Piniavos,3,Emigrantų partija,Pasvalio - Panevėžio,3,0.39
5,2,47,,Piniavos,6,Respublikonų partija,Pasvalio - Panevėžio,6,0.78
5,12,47,,Piniavos,1,Lietuvos žmonių partija,Pasvalio - Panevėžio,1,0.13
5,3,47,15,Daujėnų,95,Darbo partija,Pasvalio - Panevėžio,110,36.42
5,8,47,9,Daujėnų,32,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,41,13.58
5,5,47,14,Daujėnų,39,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,53,17.55
5,1,47,2,Daujėnų,8,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,10,3.31
5,6,47,1,Daujėnų,8,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,9,2.98
5,9,47,2,Daujėnų,14,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,16,5.3
5,7,47,,Daujėnų,1,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,1,0.33
5,14,47,7,Daujėnų,35,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,42,13.91
5,16,47,,Daujėnų,,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,,
5,18,47,,Daujėnų,4,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,4,1.32
5,13,47,1,Daujėnų,2,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,3,0.99
5,11,47,1,Daujėnų,5,Krikščionių partija,Pasvalio - Panevėžio,6,1.99
5,10,47,,Daujėnų,4,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,4,1.32
4,3,47,13,Vilniaus,161,Darbo partija,Pasvalio - Panevėžio,174,18.05
4,8,47,26,Vilniaus,206,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,232,24.07
4,5,47,1,Vilniaus,241,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,242,25.1
4,1,47,10,Vilniaus,43,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,53,5.5
4,6,47,43,Vilniaus,56,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,99,10.27
4,3,47,2,Paliūniškio,62,Darbo partija,Pasvalio - Panevėžio,64,22.15
4,8,47,6,Paliūniškio,29,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,35,12.11
4,5,47,4,Paliūniškio,46,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,50,17.3
4,1,47,,Paliūniškio,40,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,40,13.84
4,6,47,4,Paliūniškio,35,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,39,13.49
3,3,47,31,Kalno,235,Darbo partija,Pasvalio - Panevėžio,266,20.83
3,8,47,50,Kalno,258,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,308,24.12
3,5,47,68,Kalno,275,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,343,26.86
3,1,47,12,Kalno,77,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,89,6.97
3,6,47,9,Kalno,66,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,75,5.87
3,3,47,13,Karsakiškio,71,Darbo partija,Pasvalio - Panevėžio,84,35.9
3,8,47,5,Karsakiškio,37,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,42,17.95
3,5,47,9,Karsakiškio,23,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,32,13.68
3,1,47,1,Karsakiškio,15,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,16,6.84
3,6,47,2,Karsakiškio,5,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,7,2.99
2,3,47,39,P.Vileišio,244,Darbo partija,Pasvalio - Panevėžio,283,22.16
2,8,47,50,P.Vileišio,326,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,376,29.44
2,5,47,61,P.Vileišio,258,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,319,24.98
2,1,47,8,P.Vileišio,35,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,43,3.37
2,6,47,8,P.Vileišio,65,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,73,5.72
2,3,47,18,Tiltagalių,85,Darbo partija,Pasvalio - Panevėžio,103,33.77
2,8,47,10,Tiltagalių,43,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,53,17.38
2,5,47,16,Tiltagalių,52,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,68,22.3
2,1,47,3,Tiltagalių,15,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,18,5.9
2,6,47,,Tiltagalių,10,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,10,3.28
1,3,47,21,Joniškėlio,130,Darbo partija,Pasvalio - Panevėžio,151,26.87
1,8,47,25,Joniškėlio,129,Lietuvos socialdemokratų partija,Pasvalio - Panevėžio,154,27.4
1,5,47,14,Joniškėlio,112,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Pasvalio - Panevėžio,126,22.42
1,1,47,1,Joniškėlio,11,Lietuvos Respublikos liberalų sąjūdis,Pasvalio - Panevėžio,12,2.14
1,6,47,1,Joniškėlio,25,„Drąsos kelias“ politinė partija,Pasvalio - Panevėžio,26,4.63
1,9,47,2,Joniškėlio,35,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,37,6.58
5,15,47,,Daujėnų,1,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,1,0.33
5,4,47,,Daujėnų,1,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,1,0.33
5,17,47,,Daujėnų,,Emigrantų partija,Pasvalio - Panevėžio,,
5,2,47,,Daujėnų,,Respublikonų partija,Pasvalio - Panevėžio,,
5,12,47,,Daujėnų,1,Lietuvos žmonių partija,Pasvalio - Panevėžio,1,0.33
4,9,47,7,Vilniaus,53,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,60,6.22
4,7,47,9,Vilniaus,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,9,0.93
4,14,47,2,Vilniaus,24,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,26,2.7
4,16,47,2,Vilniaus,5,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,7,0.73
4,18,47,,Vilniaus,4,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,4,0.41
4,13,47,2,Vilniaus,17,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,19,1.97
4,11,47,,Vilniaus,12,Krikščionių partija,Pasvalio - Panevėžio,12,1.24
4,10,47,,Vilniaus,12,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,12,1.24
4,9,47,,Paliūniškio,11,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,11,3.81
4,7,47,,Paliūniškio,1,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,1,0.35
4,14,47,1,Paliūniškio,22,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,23,7.96
4,16,47,,Paliūniškio,1,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,1,0.35
4,18,47,,Paliūniškio,2,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,2,0.69
4,13,47,,Paliūniškio,,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,,
4,11,47,,Paliūniškio,8,Krikščionių partija,Pasvalio - Panevėžio,8,2.77
4,10,47,1,Paliūniškio,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,4,1.38
3,9,47,2,Kalno,57,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,59,4.62
3,7,47,,Kalno,2,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,2,0.16
3,14,47,3,Kalno,33,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,36,2.82
3,16,47,3,Kalno,4,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,7,0.55
3,18,47,1,Kalno,6,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,7,0.55
3,13,47,2,Kalno,21,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,23,1.8
3,11,47,3,Kalno,15,Krikščionių partija,Pasvalio - Panevėžio,18,1.41
3,10,47,,Kalno,22,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,22,1.72
3,9,47,3,Karsakiškio,23,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,26,11.11
3,7,47,,Karsakiškio,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
3,14,47,1,Karsakiškio,11,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,12,5.13
3,16,47,,Karsakiškio,2,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,2,0.85
3,18,47,,Karsakiškio,1,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,1,0.43
3,13,47,2,Karsakiškio,2,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,4,1.71
3,11,47,1,Karsakiškio,2,Krikščionių partija,Pasvalio - Panevėžio,3,1.28
3,10,47,,Karsakiškio,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,1,0.43
2,9,47,5,P.Vileišio,59,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,64,5.01
2,7,47,,P.Vileišio,1,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,1,0.08
2,14,47,6,P.Vileišio,32,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,38,2.98
2,16,47,1,P.Vileišio,4,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,5,0.39
2,18,47,,P.Vileišio,11,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,11,0.86
2,13,47,3,P.Vileišio,17,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,20,1.57
2,11,47,5,P.Vileišio,7,Krikščionių partija,Pasvalio - Panevėžio,12,0.94
2,9,47,1,Tiltagalių,17,Partija Tvarka ir teisingumas,Pasvalio - Panevėžio,18,5.9
2,7,47,1,Tiltagalių,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,1,0.33
2,14,47,1,Tiltagalių,14,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,15,4.92
2,16,47,,Tiltagalių,2,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,2,0.66
2,18,47,,Tiltagalių,1,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,1,0.33
2,13,47,1,Tiltagalių,,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,1,0.33
2,11,47,4,Tiltagalių,3,Krikščionių partija,Pasvalio - Panevėžio,7,2.3
2,10,47,1,Tiltagalių,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,3,0.98
1,7,47,,Joniškėlio,,Lietuvos lenkų rinkimų akcija,Pasvalio - Panevėžio,,
1,14,47,,Joniškėlio,15,Lietuvos valstiečių ir žaliųjų sąjunga,Pasvalio - Panevėžio,15,2.67
1,16,47,,Joniškėlio,6,Liberalų ir centro sąjunga,Pasvalio - Panevėžio,6,1.07
1,18,47,,Joniškėlio,5,Politinė partija „Sąjunga Taip“,Pasvalio - Panevėžio,5,0.89
1,13,47,1,Joniškėlio,2,Socialistinis liaudies Frontas,Pasvalio - Panevėžio,3,0.53
1,11,47,2,Joniškėlio,10,Krikščionių partija,Pasvalio - Panevėžio,12,2.14
1,10,47,1,Joniškėlio,3,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,4,0.71
1,15,47,,Joniškėlio,3,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,3,0.53
4,15,47,2,Vilniaus,4,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,6,0.62
4,4,47,,Vilniaus,4,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,4,0.41
4,17,47,,Vilniaus,4,Emigrantų partija,Pasvalio - Panevėžio,4,0.41
4,2,47,,Vilniaus,,Respublikonų partija,Pasvalio - Panevėžio,,
4,12,47,,Vilniaus,1,Lietuvos žmonių partija,Pasvalio - Panevėžio,1,0.1
4,15,47,1,Paliūniškio,,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,1,0.35
4,4,47,,Paliūniškio,2,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,2,0.69
4,17,47,,Paliūniškio,2,Emigrantų partija,Pasvalio - Panevėžio,2,0.69
4,2,47,,Paliūniškio,4,Respublikonų partija,Pasvalio - Panevėžio,4,1.38
4,12,47,,Paliūniškio,2,Lietuvos žmonių partija,Pasvalio - Panevėžio,2,0.69
3,15,47,1,Kalno,5,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,6,0.47
3,4,47,1,Kalno,5,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,6,0.47
3,17,47,,Kalno,5,Emigrantų partija,Pasvalio - Panevėžio,5,0.39
3,2,47,,Kalno,2,Respublikonų partija,Pasvalio - Panevėžio,2,0.16
3,12,47,,Kalno,3,Lietuvos žmonių partija,Pasvalio - Panevėžio,3,0.23
3,15,47,1,Karsakiškio,3,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,4,1.71
3,4,47,,Karsakiškio,,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,,
3,17,47,,Karsakiškio,,Emigrantų partija,Pasvalio - Panevėžio,,
3,2,47,,Karsakiškio,,Respublikonų partija,Pasvalio - Panevėžio,,
3,12,47,,Karsakiškio,,Lietuvos žmonių partija,Pasvalio - Panevėžio,,
2,10,47,4,P.Vileišio,14,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Pasvalio - Panevėžio,18,1.41
2,15,47,,P.Vileišio,3,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,3,0.23
2,4,47,1,P.Vileišio,4,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,5,0.39
2,17,47,,P.Vileišio,2,Emigrantų partija,Pasvalio - Panevėžio,2,0.16
2,2,47,1,P.Vileišio,1,Respublikonų partija,Pasvalio - Panevėžio,2,0.16
2,12,47,,P.Vileišio,2,Lietuvos žmonių partija,Pasvalio - Panevėžio,2,0.16
2,15,47,,Tiltagalių,,Partija „Jaunoji Lietuva“,Pasvalio - Panevėžio,,
2,4,47,1,Tiltagalių,,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,1,0.33
2,17,47,,Tiltagalių,,Emigrantų partija,Pasvalio - Panevėžio,,
2,2,47,,Tiltagalių,2,Respublikonų partija,Pasvalio - Panevėžio,2,0.66
2,12,47,,Tiltagalių,2,Lietuvos žmonių partija,Pasvalio - Panevėžio,2,0.66
1,4,47,,Joniškėlio,4,Demokratinė darbo ir vienybės partija,Pasvalio - Panevėžio,4,0.71
1,17,47,,Joniškėlio,4,Emigrantų partija,Pasvalio - Panevėžio,4,0.71
1,2,47,,Joniškėlio,,Respublikonų partija,Pasvalio - Panevėžio,,
1,12,47,,Joniškėlio,,Lietuvos žmonių partija,Pasvalio - Panevėžio,,
1,3,49,16,Adomynės,65,Darbo partija,Anykščių - Kupiškio,81,31.15
1,8,49,6,Adomynės,34,Lietuvos socialdemokratų partija,Anykščių - Kupiškio,40,15.38
1,5,49,19,Adomynės,21,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Anykščių - Kupiškio,40,15.38
1,1,49,6,Adomynės,8,Lietuvos Respublikos liberalų sąjūdis,Anykščių - Kupiškio,14,5.38
1,6,49,2,Adomynės,11,„Drąsos kelias“ politinė partija,Anykščių - Kupiškio,13,5.0
10,3,38,11,Sodų,252,Darbo partija,Mažeikių,263,21.01
10,8,38,14,Sodų,284,Lietuvos socialdemokratų partija,Mažeikių,298,23.8
10,5,38,22,Sodų,113,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Mažeikių,135,10.78
10,1,38,7,Sodų,78,Lietuvos Respublikos liberalų sąjūdis,Mažeikių,85,6.79
10,6,38,5,Sodų,129,„Drąsos kelias“ politinė partija,Mažeikių,134,10.7
9,3,38,5,Pavenčių,247,Darbo partija,Mažeikių,252,25.43
9,8,38,13,Pavenčių,191,Lietuvos socialdemokratų partija,Mažeikių,204,20.59
9,5,38,6,Pavenčių,75,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Mažeikių,81,8.17
9,1,38,7,Pavenčių,69,Lietuvos Respublikos liberalų sąjūdis,Mažeikių,76,7.67
9,6,38,3,Pavenčių,96,„Drąsos kelias“ politinė partija,Mažeikių,99,9.99
8,3,38,15,Naftininkų,346,Darbo partija,Mažeikių,361,20.21
8,8,38,23,Naftininkų,401,Lietuvos socialdemokratų partija,Mažeikių,424,23.74
